# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380    3349    -0.00654722    -0.00654722              0              0
    6380    3350    -0.00661173    -0.00661173              0              0
    6380    3351    -0.00667775    -0.00667775              0              0
    6380    3352    -0.00674532    -0.00674532              0              0
    6380    3353    -0.00681447    -0.00681447              0              0
    6380    3354    -0.00688524    -0.00688524              0              0
    6380    3355    -0.00695765    -0.00695765              0              0
    6380    3356    -0.00703174    -0.00703174              0              0
    6380    3357    -0.00710755    -0.00710755              0              0
    6380    3358    -0.00718512    -0.00718512              0              0
    6380    3359    -0.00726449    -0.00726449              0              0
    6380    3360     -0.0073457     -0.0073457              0              0
    6380    3361     -0.0074288     -0.0074288              0              0
    6380    3362    -0.00751384    -0.00751384              0              0
    6380    3363    -0.00760087    -0.00760087              0              0
    6380    3364    -0.00768993    -0.00768993              0              0
    6380    3365    -0.00778109    -0.00778109              0              0
    6380    3366    -0.00787439    -0.00787439              0              0
    6380    3367    -0.00796989    -0.00796989              0              0
    6380    3368    -0.00806265    -0.00806265              0              0
    6380    3369    -0.00815649    -0.00815649              0              0
    6380    3370    -0.00825264    -0.00825264              0              0
    6380    3371    -0.00835116    -0.00835116              0              0
    6380    3372    -0.00845212    -0.00845212              0              0
    6380    3373    -0.00855557    -0.00855557              0              0
    6380    3374     -0.0086616     -0.0086616              0              0
    6380    3375    -0.00877025    -0.00877025              0              0
    6380    3376     -0.0088816     -0.0088816              0              0
    6380    3377    -0.00899571    -0.00899571              0              0
    6380    3378    -0.00911264    -0.00911264              0              0
    6380    3379    -0.00923246    -0.00923246              0              0
    6380    3380    -0.00935522    -0.00935522              0              0
    6380    3381    -0.00948098    -0.00948098              0              0
    6380    3382    -0.00960979    -0.00960979              0              0
    6380    3383    -0.00974169    -0.00974169              0              0
    6380    3384    -0.00987674    -0.00987674              0              0
    6380    3385     -0.0100149     -0.0100149              0              0
    6380    3386     -0.0101563     -0.0101563              0              0
    6380    3387      -0.010301      -0.010301              0              0
    6380    3388     -0.0104488     -0.0104488              0              0
    6380    3389     -0.0105997     -0.0105997              0              0
    6380    3390     -0.0107539     -0.0107539              0              0
    6380    3391     -0.0109111     -0.0109111              0              0
    6380    3392     -0.0110714     -0.0110714              0              0
    6380    3393     -0.0112345     -0.0112345              0              0
    6380    3394     -0.0114005     -0.0114005              0              0
    6380    3395     -0.0115691     -0.0115691              0              0
    6380    3396     -0.0117402     -0.0117402              0              0
    6380    3397     -0.0119134     -0.0119134              0              0
    6380    3398     -0.0120886     -0.0120886              0              0
    6380    3399     -0.0122655     -0.0122655              0              0
    6380    3400     -0.0124436     -0.0124436              0              0
    6380    3401     -0.0126226     -0.0126226              0              0
    6380    3402      -0.012802      -0.012802              0              0
    6380    3403     -0.0129813     -0.0129813              0              0
    6380    3404       -0.01316       -0.01316              0              0
    6380    3405     -0.0133374     -0.0133374              0              0
    6380    3406     -0.0135128     -0.0135128              0              0
    6380    3407     -0.0136856     -0.0136856              0              0
    6380    3408      -0.013855      -0.013855              0              0
    6380    3409     -0.0140201     -0.0140201              0              0
    6380    3410     -0.0141802     -0.0141802              0              0
    6380    3411     -0.0143344     -0.0143344              0              0
    6380    3412     -0.0144817     -0.0144817              0              0
    6380    3413     -0.0146174     -0.0146174              0              0
    6380    3414     -0.0147369     -0.0147369              0              0
    6380    3415     -0.0148571     -0.0148571              0              0
    6380    3416     -0.0149703     -0.0149703              0              0
    6380    3417     -0.0150739     -0.0150739              0              0
